domain,feature,z_lower,z_upper,n_low_clipped,n_high_clipped,n_any_clipped,fraction_any_clipped,raw_z_abs_max,projected_z_abs_max,mean_abs_projection_change
v3_confirmation,geom_local_asymmetry,-3.1661544858317487,3.128849671197165,0,3,3,0.0015,3.1655950741601684,3.1655950741601684,9.216755642280638e-07
v3_confirmation,geom_up_mass,-0.4894605491787615,5.280748760370126,3,0,3,0.0015,3.840175187456836,3.840175187456836,2.178448254036569e-09
v3_confirmation,geom_down_mass,-0.4031660419423601,4.609581834311682,0,1,1,0.0005,4.636559361415606,4.609581834311682,1.3488763551961824e-05
v3_confirmation,geom_signed_tail_mass,-3.121620318796411,4.141295505667796,0,0,0,0.0,3.119792322403301,3.119792322403301,0.0
v3_confirmation,geom_up_distance_mass,-0.4820007510008542,7.926599192291027,2,0,2,0.001,4.091137360066025,4.091137360066025,2.078313715903057e-09
v3_confirmation,geom_down_distance_mass,-0.4260551981377457,4.675533275809323,0,6,6,0.003,5.439145683392076,4.675533275809323,0.0011808964013067936
v3_confirmation,geom_signed_distance_mass,-3.1456020621940457,6.215979237142204,7,0,7,0.0035,3.512915338038976,3.1456020621940457,0.0002632689046733434
v3_confirmation,geom_up_boundary_gap,-3.584529050731304,0.6318348334284418,0,2,2,0.001,3.584529050731304,3.584529050731304,4.6100430900475333e-10
v3_confirmation,geom_down_boundary_gap,-3.884817271522052,0.6281795597725508,1,0,1,0.0005,3.8857875851744366,3.884817271522052,4.851568261923234e-07
v3_confirmation,geom_up_down_logratio,-2.6954843430418958,2.427886767606354,0,0,0,0.0,2.4278867644837945,2.4278867644837945,0.0
tallyqa_posthoc_development,baseline_best_numeral,-1.6492566344173407,2.5926585775614166,353,9,362,0.0905,4.2894246623529195,2.5926585775614166,0.04051029027439715
tallyqa_posthoc_development,baseline_entropy,-0.8255883801740448,3.287127929932673,0,444,444,0.111,8.809838598484044,3.287127929932673,0.1765734130402414
tallyqa_posthoc_development,baseline_entropy_norm,-0.8255883801740443,3.287127929932673,0,444,444,0.111,8.809838598484044,3.287127929932673,0.1765734130402414
tallyqa_posthoc_development,baseline_expected_numeral,-1.6590903848471743,2.561867522353497,389,9,398,0.0995,3.6681957044007576,2.561867522353497,0.025098110749154252
tallyqa_posthoc_development,baseline_top1_prob,-4.065752212272464,0.6685333329124725,123,0,123,0.03075,5.629970109513579,4.065752212272464,0.017777274321292964
tallyqa_posthoc_development,baseline_conditional_margin,-2.9898148696894853,0.6663549823911035,0,0,0,0.0,2.9898148696894853,2.9898148696894853,0.0
tallyqa_posthoc_development,baseline_vocab_numeral_mass,-7.670890690444909,0.6701312904831004,961,0,961,0.24025,42.61838309495422,7.670890690444909,1.6264163598687338
tallyqa_posthoc_development,baseline_numprob_0,-0.0889941435558226,23.425656971890557,1,610,611,0.15275,2138.646405439319,23.425656971890557,162.67541042550013
tallyqa_posthoc_development,baseline_numprob_1,-0.3381887318845166,2.98441342386307,34,0,34,0.0085,2.984382113225046,2.984382113225046,2.4708396266837073e-08
tallyqa_posthoc_development,baseline_numprob_2,-0.3587756868061935,2.849498960548587,4,6,10,0.0025,2.8495212884160708,2.849498960548587,1.5902193130828968e-08
tallyqa_posthoc_development,baseline_numprob_3,-0.3531341515394198,3.0530860679048084,0,1,1,0.00025,3.053173687408264,3.0530860679048084,2.190487586384293e-08
tallyqa_posthoc_development,baseline_numprob_4,-0.3803671705679612,2.9577652718848237,0,0,0,0.0,2.955785953778189,2.955785953778189,0.0
tallyqa_posthoc_development,baseline_numprob_5,-0.3700727523889267,3.2751911781306564,9,0,9,0.00225,3.206243913613753,3.206243913613753,2.1251899072483038e-10
tallyqa_posthoc_development,baseline_numprob_6,-0.4927020187522719,2.4244242192620318,8,0,8,0.002,2.4017854970065415,2.4017854970065415,7.502161131212048e-11
tallyqa_posthoc_development,baseline_numprob_7,-0.4704111593528798,2.721538242552106,26,0,26,0.0065,2.3046432786377378,2.3046432786377378,6.237001359543637e-10
