feature_index,feature,train_mean,train_scale,raw_min,raw_q001,raw_q01,raw_q05,raw_median,raw_q95,raw_q99,raw_q999,raw_max,z_min,z_q001,z_q01,z_q05,z_median,z_q95,z_q99,z_q999,z_max,abs_z_max
10,baseline_numprob_3,0.10366602267515808,0.29355948343075805,1.4356748697094102e-07,1.627184453185286e-07,2.508628932340851e-07,3.9597876319570626e-07,6.795754492374353e-06,0.9996336555790576,0.9998628518673028,0.999916330252662,0.999928391638938,-0.3531341515394198,-0.3531340863023574,-0.3531337860414123,-0.3531332917093326,-0.3531114910996082,3.0520820599387366,3.052862808990229,3.0530449812189517,3.0530860679048084,3.0530860679048084
11,baseline_numprob_4,0.1139122509696662,0.2994796511034993,2.343674798229826e-08,2.8274714374746422e-08,4.374327192693831e-08,1.715692204314615e-07,2.865454304080204e-06,0.9974190842482975,0.9994636355948914,0.9996756980009401,0.9997027626397798,-0.3803671705679612,-0.3803671544133865,-0.38036710276193875,-0.3803666759351142,-0.3803576807159942,2.950139784199542,2.956966796783069,2.9576748996717535,2.9577652718848233,2.9577652718848233
12,baseline_numprob_5,0.10141540256904716,0.2740415051097269,1.0850428638839637e-07,1.1214020532263674e-07,1.7429641879908675e-07,2.5353712289555123e-07,1.2533589293275122e-05,0.9868639356128254,0.9983141730328228,0.9989053756202512,0.998953722546072,-0.37007275238892673,-0.3700727391211594,-0.37007251230802224,-0.3700722231521732,-0.37002741223141333,3.2310745508759426,3.2728574093353306,3.2750147562204006,3.2751911781306564,3.2751911781306564
13,baseline_numprob_6,0.16873449958181733,0.3424674661932947,8.763140558336399e-08,9.327217624891702e-08,1.3574090250383985e-07,2.69953252056109e-07,7.60481340131605e-05,0.9891600307103398,0.9975329679363354,0.9987331843800147,0.999020918930142,-0.49270201875227193,-0.492702002281304,-0.4927018782732435,-0.49270148637514277,-0.4924802151939605,2.3956305696654403,2.4200794240896726,2.4235840385776424,2.4244242192620313,2.4244242192620313
14,baseline_numprob_7,0.14709084852242094,0.3126855141585288,9.329425610993953e-08,9.930522022740412e-08,1.1253427058573607e-07,1.538154942688825e-07,0.00012835161923895,0.9831617579943263,0.9959228680867162,0.998039911098612,0.9980764331969252,-0.4704111593528798,-0.47041114012920665,-0.4704110978213613,-0.47041096579981956,-0.4700009762162288,2.673839597980304,2.7146509228244735,2.721421441176093,2.721538242552106,2.721538242552106
15,baseline_numprob_8,0.11129707669575009,0.26888012058647554,2.0816776326580063e-08,2.2157985576332736e-08,2.6712958333296826e-08,4.139875876899446e-08,9.274545169512903e-06,0.8741944718066578,0.9698713526631569,0.9891544130201514,0.989851438351288,-0.4139281685690077,-0.41392816358087675,-0.413928146640343,-0.4139280920219488,-0.41389375275435764,2.837314240438796,3.1931489546148044,3.2648651540680573,3.2674574815693105,3.2674574815693105
16,baseline_numprob_9,0.03173724984045591,0.12800425066828716,1.6211733030341882e-08,1.955184624961131e-08,2.6728512326238807e-08,3.888940881635298e-08,2.542835456757019e-06,0.18220111099335123,0.7328091331762095,0.8616403695860655,0.8693449191087983,-0.24793890408348543,-0.24793887798971748,-0.24793882192387556,-0.2479387269200267,-0.24791916549112986,1.1754598801785923,5.476942208368734,6.483402819928516,6.5435926142713505,6.5435926142713505
17,baseline_numprob_10,0.006142299644453246,0.0470889954046335,3.2239899863644984e-08,3.431732897002621e-08,6.019170293555752e-08,7.734343406737314e-08,1.5454074615536295e-06,0.0008081401279862668,0.23790829318838988,0.6507070591751374,0.6681184441660687,-0.13043955072248134,-0.1304395066053986,-0.13043895712725104,-0.1304385928864983,-0.1304074165147182,-0.11327826110178822,4.921871693213721,13.688224902484535,14.05797976434379,14.05797976434379
18,baseline_numprob_11,0.0020221712144012144,0.027567573241399832,1.4306390373022652e-08,1.7253818436463566e-08,2.671149263454756e-08,5.6583868660860866e-08,3.464433195120996e-07,1.5957596966103218e-05,0.013397934252918674,0.44147708216500525,0.5807029908404929,-0.07335273548757822,-0.07335262857109207,-0.07335228549866724,-0.07335120189309322,-0.07334068738576562,-0.07277440055631242,0.41265014293800123,15.941008194752845,20.99135874452137,20.99135874452137
19,baseline_numprob_12,0.0003174033077843838,0.0064031975823155,2.0815643839145182e-08,2.0815773335871248e-08,3.650512506771471e-08,4.691110490911854e-08,3.2498876612138133e-07,2.8342335643739126e-06,0.00036927914495868647,0.059857363012308644,0.1885266587787392,-0.04956624999626734,-0.04956624997604358,-0.04956379973902837,-0.049562174616625446,-0.049518746679624054,-0.04912687296871709,0.008101551843031445,9.298472979962872,29.39301076555181,29.39301076555181
