group,feature,v3_mean,tally_mean,mean_difference,v3_std,tally_std,smd_tally_minus_v3,abs_smd,v3_median,tally_median,robust_median_shift,ks_statistic,ks_pvalue
overall,geom_p_up2,0.0007772735268440212,0.016517800322161144,0.015740526795317122,0.004354943597175705,0.041932009666438355,0.5280303719860223,0.5280303719860223,1.6281216579371264e-05,0.000485224406899,0.11215936378910715,0.42725,4.5995703130126796e-219
overall,baseline_numprob_2,0.11146875505762949,0.2856749414678229,0.17420618641019342,0.3120431329392259,0.374096855889624,0.5057221481680036,0.5057221481680036,6.9457929480607745e-06,0.0392676257761974,0.1341540868891634,0.76875,0.0
overall,baseline_top1_prob,0.906168597049744,0.8202371892186572,-0.08593140783108677,0.13872954341685004,0.21400175910412594,-0.47650542294123716,0.47650542294123716,0.9867270171154476,0.9251766853372017,-0.25625772875049596,0.1695,7.088655227476322e-34
overall,baseline_numprob_0,2.9996684537908575e-05,0.07791821837764128,0.07788822169310337,0.0002612831554531232,0.23353361858725358,0.47166875241522477,0.47166875241522477,7.889230648942227e-06,1.1475481369823003e-05,0.03594579438863498,0.23925,2.123319892400537e-67
overall,geom_up_mass,0.05015383352448458,0.11540691538307081,0.06525308185858622,0.10577954864661375,0.16618618057310933,0.46844660716120506,0.46844660716120506,0.00122276313024075,0.02236291751147695,0.1930043905496426,0.26,1.149228671603841e-79
overall,geom_up_distance_mass,0.05103422232532052,0.19237546429694224,0.14134124197162173,0.10787765612441473,0.41670877442194026,0.4643711030243102,0.4643711030243102,0.0012881076979575998,0.027943626801355648,0.20644120070781846,0.2725,1.426069114267942e-87
overall,geom_up_boundary_gap,0.8568352332520087,0.7370998375047537,-0.119735395747255,0.22352106087551585,0.30928380193825467,-0.4437412677799893,0.4437412677799893,0.979538839952308,0.8885958604751576,-0.2721775876472153,0.17225,5.635034404512097e-35
overall,baseline_conditional_margin,0.8193002815797361,0.6975037925728222,-0.12179648900691387,0.2681302848100723,0.3395928898238892,-0.398086011355759,0.398086011355759,0.9746256480387574,0.8641680045404896,-0.25389992824002827,0.16225,4.604761997007703e-31
overall,geom_down_boundary_gap,0.8635679519614178,0.7644491205691704,-0.09911883139224742,0.21628245808693464,0.2865768777032164,-0.3904247004016799,0.3904247004016799,0.9812137682852324,0.9109595110702537,-0.2263689702680791,0.162,5.727446819177289e-31
overall,baseline_numprob_5,0.10883543049571325,0.02662580014692627,-0.08220963034878698,0.283951685343293,0.09998158980804438,-0.3862015175828682,0.3862015175828682,1.2174744878307668e-05,6.153358567830621e-05,0.04438287811402072,0.154,5.147479736376515e-28
overall,geom_expected_minus_pred,0.003418857161075224,0.11226339123104824,0.10884453406997302,0.1548050074889939,0.45611701300731994,0.3195735145097902,0.3195735145097902,3.504216291250195e-06,0.004855924116043251,0.05358742009637282,0.326,7.014363547888283e-126
overall,geom_signed_distance_mass,0.0034188571610752243,0.11226339123104821,0.10884453406997299,0.1548050074889939,0.45611701300732005,0.31957351450979,0.31957351450979,3.5042162911603033e-06,0.0048559241160430495,0.05358742009637118,0.326,7.014363547888283e-126
overall,baseline_numprob_9,0.03290833249121061,0.0033698711604236214,-0.02953846133078699,0.13417002000442466,0.027198380818634873,-0.30514234213747893,0.30514234213747893,2.5304930233327983e-06,2.4337415369126915e-06,-0.004883136749295031,0.1225,7.379690747883864e-18
overall,geom_p_up1,0.04933336379773513,0.08313735171390337,0.03380398791616823,0.10391732638750616,0.12066046139915243,0.30021162966126985,0.30021162966126985,0.00119097541098275,0.015903950404191902,0.17556348343908554,0.23975,1.1064857051794651e-67
overall,geom_p_down2,0.0002881585710441571,0.00555086128084009,0.005262702709795932,0.002384289162940568,0.026334993735686072,0.28146080779933913,0.28146080779933913,4.4221086176750275e-06,0.0,-0.2854962483069767,0.41275,5.4478526477671416e-204
overall,baseline_numprob_4,0.10518229255430236,0.04281775936744701,-0.06236453318685536,0.2904799144225133,0.13563053200092492,-0.2751126593804109,0.2751126593804109,2.893437258338439e-06,0.0002291579946803,0.05764305508473153,0.4505,1.7197874911150592e-244
overall,geom_top2_prob,0.08686831547000778,0.12273339664583481,0.03586508117582703,0.13019943756119184,0.13877169694477634,0.2665481591203342,0.2665481591203342,0.01241904343765925,0.05971483152955115,0.26828029298480216,0.1545,3.399760751049424e-28
overall,geom_signed_tail_mass,0.006476264098713197,0.051051019984798815,0.044574755886085615,0.15254195758955408,0.19848811495641874,0.25181753722349576,0.25181753722349576,-2.777623755121688e-06,0.0033342795432730003,0.04867906850920133,0.2805,7.73708702254475e-93
overall,geom_down_distance_mass,0.047615365164245305,0.080112073065894,0.0324967079016487,0.10455603955828018,0.2222793214241299,0.1870903933303475,0.1870903933303475,0.00236266010324025,0.0002220226347757,-0.04772998459848415,0.22975,3.8777483878411547e-62
overall,geom_down_mass,0.04367756942577139,0.06435589539827198,0.02067832597250059,0.1003401943842505,0.12238993310656043,0.18477729837547,0.18477729837547,0.0008639570272878,0.0002156935924526,-0.0162080972629868,0.2135,1.1929397173489861e-53
overall,baseline_numprob_10,0.007781972684029254,0.0017665346165029953,-0.006015438067526259,0.05339289686363404,0.01510744873252344,-0.15331153893735205,0.15331153893735205,1.453378352153521e-06,1.4362473974301532e-06,-0.0017142165020833685,0.1435,2.2787865812530667e-24
overall,geom_local_asymmetry,0.0067327187094089695,0.027349283064416568,0.020616564355007597,0.15095343105433337,0.1590545104098542,0.13296129518557606,0.13296129518557606,-3.6618669007088453e-06,0.00187150947551205,0.04053150307902256,0.25275,2.9346806167450875e-75
overall,geom_p_down1,0.04260064508832615,0.05578806864948681,0.013187423561160656,0.099046762940735,0.10486090658099396,0.12929445959698102,0.12929445959698102,0.00032113195274979995,0.00021310391798315,-0.0028928260167999657,0.13225,9.435338689128902e-21
overall,baseline_numprob_13,4.816570603984945e-05,0.0007723854414834801,0.0007242197354436306,0.0010396777696982608,0.008671491632080447,0.11727144077989154,0.11727144077989154,1.1684298326979048e-07,4.551882670335024e-07,0.1578688637047779,0.2995,5.426918527525413e-106
overall,baseline_numprob_14,2.1440984873524136e-06,0.0008916670228354141,0.0008895229243480616,4.797345157769165e-05,0.01138304364138837,0.11051211359004133,0.11051211359004133,1.0486814099273266e-07,6.39879864860738e-07,0.19477414676129332,0.422,1.5460736670810357e-213
overall,baseline_numprob_15,5.813803212570864e-07,0.000893776388521937,0.00089319500820068,2.3381362159687815e-06,0.012352023822476858,0.10226408967186802,0.10226408967186802,2.8652653441195885e-07,4.845658039712481e-07,0.08274506540118604,0.293,2.1764624312494345e-101
overall,baseline_numprob_11,0.003389917665891667,0.0012838079809477496,-0.0021061096849439177,0.03621081763658769,0.014896607816889689,-0.07606873166287603,0.07606873166287603,3.2690620705112846e-07,1.6060738090075046e-06,0.17860865612707258,0.3515,9.605902472805949e-147
overall,baseline_numprob_3,0.11000525681158979,0.09744263051537023,-0.012562626296219556,0.3046919674039312,0.2225907465207639,-0.047083104929754996,0.047083104929754996,6.51219470476533e-06,0.0014757425612109002,0.05902781585103903,0.61075,2.223e-321
overall,baseline_numprob_12,0.0008485457568705258,0.0010152867554991663,0.00016674099862864047,0.013572504302941782,0.010050551859351315,0.013962477483001593,0.013962477483001593,3.055702149168597e-07,1.3697457525789247e-06,0.17576216231524186,0.37125,4.349857793807054e-164
