layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,mean_abs_interaction_logp,negative_interaction_fraction,positive_interaction_fraction
3,31,5,-0.09448069334030149,-0.0018680917564779399,-0.09261260158382353,0.09326447243802247,0.8,0.2
8,0,5,-0.034760010242462155,0.009517033025622344,-0.04427704326808449,0.044662837777286725,0.8,0.2
8,1,5,-0.3054184436798095,-0.02226225179620084,-0.2831561918836087,0.2831561918836087,1.0,0.0
8,2,5,0.007974374294280984,-0.0010426376014947677,0.009017011895775761,0.154839814081788,0.4,0.6
8,3,5,-0.16622071266174315,0.004982625599950572,-0.1712033382616937,0.1712033382616937,1.0,0.0
8,4,5,-0.06573123931884765,-0.0034632140304892934,-0.06226802528835836,0.1120518499519676,0.6,0.4
8,5,5,0.11819286942481995,0.029703067382797578,0.08848980204202236,0.13874487807042896,0.2,0.8
8,6,5,-0.022518539428710897,0.0042637158650905,-0.026782255293801398,0.11467516017146402,0.8,0.2
8,7,5,0.28096154928207395,0.029007964394986603,0.25195358488708736,0.25195358488708736,0.0,1.0
8,8,5,-0.10918326377868648,-0.01122645176947114,-0.09795681200921534,0.0979940593242645,0.8,0.2
8,9,5,-0.25438964366912836,0.014223794499412181,-0.26861343816854055,0.2686134381685406,1.0,0.0
8,10,5,0.07376282215118406,0.006561813224107041,0.067201008927077,0.0760207201354205,0.2,0.8
8,11,5,-0.2711629986763,0.009564087679609699,-0.2807270863559097,0.2807270863559097,1.0,0.0
8,12,5,-0.012051671743392977,0.011616681981831764,-0.023668353725224734,0.15191817497834562,0.4,0.6
8,13,5,0.06867976188659666,-0.021018220344558323,0.08969798223115498,0.19893388771452009,0.2,0.8
8,14,5,-0.09853291511535645,0.027013825927860995,-0.12554674104321745,0.12554674104321745,1.0,0.0
8,15,5,-0.043248856067657486,-0.0034963633399456963,-0.039752492727711794,0.09353084652684625,0.4,0.6
8,16,5,-0.0859306931495666,0.0013001081533729924,-0.08723080130293959,0.0872308013029396,1.0,0.0
8,17,5,-0.09854457378387448,0.006033288640901421,-0.10457786242477589,0.10494936830364161,0.8,0.2
8,18,5,0.029864382743835398,0.012164136162027682,0.01770024658180772,0.07664476647041736,0.4,0.6
8,19,5,0.1964080810546875,0.014916749065741914,0.18149133198894557,0.21645465367473657,0.2,0.8
8,20,5,-0.021581947803497297,0.007663298049010297,-0.029245245852507595,0.08924308752175417,0.4,0.6
8,21,5,0.10769001245498655,0.006585918623022701,0.10110409383196384,0.12376570638734845,0.4,0.6
8,22,5,0.10531129837036127,-0.00113395666703578,0.10644525503739703,0.10644525503739703,0.0,1.0
8,23,5,0.10498927831649778,0.01207956154830754,0.09290971676819024,0.18789157192222766,0.2,0.8
8,24,5,0.3473850965499877,0.03524125991389156,0.3121438366360962,0.31214383663609624,0.0,1.0
8,25,5,-0.0766188383102417,0.0067811385262757234,-0.08339997683651743,0.14785984163172539,0.8,0.2
8,26,5,-0.007156455516815208,0.00823466372676192,-0.015391119243577112,0.26732978406362234,0.4,0.6
8,27,5,-0.363752281665802,-0.025692396191880063,-0.3380598854739219,0.3380598854739219,1.0,0.0
8,28,5,-0.08133625984191892,-0.011313670920208019,-0.0700225889217109,0.07614651615731423,0.8,0.2
8,29,5,-0.005025494098663319,0.009337947005406022,-0.014363441104069336,0.14812325560487802,0.6,0.4
8,30,5,-0.39798340797424314,0.015416448214091341,-0.4133998561883345,0.4133998561883345,1.0,0.0
8,31,5,-0.013695329427719116,0.005398874823003961,-0.019094204250723078,0.13077636295929548,0.6,0.4
13,0,5,0.6084929645061493,0.04036760041490194,0.5681253640912474,0.5681253640912474,0.0,1.0
13,1,5,-0.1889212965965271,0.00926744858734306,-0.19818874518387014,0.23073046128265556,0.6,0.4
13,2,5,0.14453037977218625,0.00936790532432496,0.13516247444786128,0.1440450298134237,0.2,0.8
13,3,5,0.008299648761749281,0.01192901115864508,-0.0036293623968957993,0.12859593313187356,0.6,0.4
13,4,5,-0.1692286252975464,-0.007809265376999967,-0.1614193599205464,0.1614193599205464,1.0,0.0
13,5,5,-0.009034079313278197,0.007403861079365001,-0.016437940392643197,0.08233992196619508,0.6,0.4
13,6,5,0.0777202248573303,0.014233365887775958,0.06348685896955432,0.10519099510274824,0.2,0.8
13,7,5,0.13101252317428588,0.01740107890218493,0.11361144427210094,0.11368932807818055,0.2,0.8
13,8,5,-0.11592761278152466,0.02163156317546958,-0.13755917595699424,0.17097996594384307,0.8,0.2
13,9,5,0.09015133380889888,0.01070732658263292,0.07944400722626596,0.0878450822317973,0.2,0.8
13,10,5,0.07266581058502194,0.014502917020581641,0.05816289356444031,0.06756917561870066,0.4,0.6
13,11,5,-0.2649673938751221,-0.0009650271385907655,-0.2640023667365313,0.26400236673653127,1.0,0.0
13,12,5,-0.13111854791641236,0.01673352299258114,-0.1478520709089935,0.14810893712565298,0.8,0.2
13,13,5,-0.27531533241271966,-0.027118206210434405,-0.2481971262022853,0.29805609937757255,0.8,0.2
13,14,5,0.04739305973052978,-0.0013400146737694869,0.04873307440429926,0.1284668704494834,0.6,0.4
13,15,5,-0.3608775615692138,-0.015782856568694083,-0.34509470500051975,0.34509470500051975,1.0,0.0
13,16,5,0.01882323026657104,0.02633937997743484,-0.0075161497108638,0.15422180490568285,0.4,0.6
