layer,head,n_pairs,mean_effect_wrong,mean_effect_correct,mean_interaction_logp,median_interaction_logp,negative_fraction,mean_abs_interaction
3,27,3,0.41008206208546955,-0.009631686688711233,0.41971374877418083,0.5007945648394525,0.0,0.41971374877418083
3,28,3,-0.12457426389058428,-0.010403971653431633,-0.11417029223715264,-0.1251630110200494,1.0,0.11417029223715264
3,29,3,-0.35755173365275067,0.00010445496688283333,-0.3576561886196335,-0.3265316188335418,1.0,0.3576561886196335
3,30,3,-0.16990510622660315,0.0239097533437113,-0.19381485957031444,-0.2503432817757129,0.6666666666666666,0.1938742763983706
3,31,3,-0.09990117947260536,-0.0093030632318308,-0.09059811624077456,-0.1238877738360315,0.6666666666666666,0.09168456766443944
8,0,3,0.0006232062975565479,0.009290087347229274,-0.008666881049672727,-0.00012222235091025624,0.6666666666666666,0.00930987189834311
8,1,3,-0.3719978332519531,-0.0330818836422016,-0.3389159496097515,-0.3751488039270044,1.0,0.3389159496097515
8,2,3,-0.0005602240562439289,-0.009942294719318514,0.009382070663074593,0.12438654596917324,0.3333333333333333,0.15726536667595306
8,3,3,-0.2097022533416748,0.008778301533311586,-0.2184805548749864,-0.2504157845396548,1.0,0.2184805548749864
8,4,3,-0.06811122099558516,-0.00030174750524262296,-0.06780947349034254,0.00015523680485776881,0.3333333333333333,0.1507825145963579
8,5,3,0.13689093788464865,0.036501231836155064,0.10038970604849358,0.1792843937873841,0.3333333333333333,0.18414816609583795
8,6,3,-0.08200375239054357,0.007969314310078834,-0.0899730667006224,-0.1231401877012104,1.0,0.0899730667006224
8,7,3,0.3137592275937398,0.0307876905426383,0.2829715370511015,0.24965211469680063,0.0,0.2829715370511015
8,8,3,-0.12226299444834388,-0.02089355482409393,-0.10136943962424994,-0.0559182167053222,0.6666666666666666,0.10143151848266518
8,9,3,-0.25347729523976636,0.022594184381887303,-0.2760714796216537,-0.2520261981990188,1.0,0.2760714796216537
8,10,3,0.09847724437713619,0.022971152172734367,0.07550609220440183,0.1240198616869746,0.3333333333333333,0.0902056108849743
8,11,3,-0.20722562074661252,0.016394518548622766,-0.22362013929523528,-0.2491504237987101,1.0,0.22362013929523528
8,12,3,0.1313999990622202,0.024525148017952806,0.1068748510442674,0.12434947560541329,0.0,0.10687485104426737
8,13,3,0.10003574689229326,-0.0350930977147072,0.13512884460700045,0.123898398131132,0.0,0.13512884460700048
8,14,3,-0.06821481386820477,0.03646295040380206,-0.10467776427200683,-0.1240238002501428,1.0,0.10467776427200685
8,15,3,-0.08124130964279178,-0.009529583078498627,-0.07171172656429316,0.00012326356954872608,0.3333333333333333,0.09336977040705578
8,16,3,-0.08390090862909945,1.2706809987620763e-05,-0.08391361543908708,-0.12500283122062678,1.0,0.08391361543908708
8,17,3,-0.0615512132644653,0.008743950088197968,-0.07029516335266327,-0.0866322666406631,0.6666666666666666,0.07091433981743946
8,18,3,0.06023911635080967,0.009049194787318473,0.05118992156349119,0.0290028154850006,0.3333333333333333,0.051194783532992
8,19,3,0.22738965352376303,0.008426932850852624,0.21896272067291042,0.3707110066898167,0.3333333333333333,0.27723492348256207
8,20,3,0.05897766351699827,0.008979462125959464,0.049998201391038805,0.025861844420433,0.0,0.049998201391038805
8,21,3,0.10599472125371297,0.00030892540235069995,0.10568579585136224,0.00018872681539500006,0.3333333333333333,0.14340895961504427
8,22,3,0.13905509312947584,-0.0010507819242774666,0.1401058750537533,0.12468909774906921,0.0,0.1401058750537533
8,23,3,0.1970504522323608,0.015808090024317333,0.18124236220804346,0.2486789256799965,0.0,0.18124236220804346
8,24,3,0.36192166805267334,0.0415285774506629,0.32039309060201043,0.3701389399357139,0.0,0.32039309060201043
8,25,3,-0.14469512303670248,8.116297734277425e-05,-0.14477628601404524,-0.1229521962814033,1.0,0.14477628601404524
8,26,3,0.2268356680870056,0.016886780736967897,0.2099488873500377,0.24956257268786428,0.0,0.2099488873500377
8,27,3,-0.37309982379277545,-0.032139549264684306,-0.34096027452809113,-0.3740624173078686,1.0,0.34096027452809113
8,28,3,-0.10508843262990313,-0.011137733313565365,-0.09395069931633777,-0.12472865497693429,1.0,0.09395069931633776
8,29,3,-0.1082419753074646,0.008646694710478171,-0.11688867001794277,-0.12497618049383159,0.6666666666666666,0.1332969545231511
8,30,3,-0.5194580554962158,0.0166530271138375,-0.5361110826100534,-0.748110565589741,1.0,0.5361110826100534
8,31,3,-0.059709856907526636,0.00025793180490530043,-0.059967788712431934,-0.1240535052493214,0.6666666666666666,0.18934058413530389
13,0,3,0.7109604179859161,0.05105643548692263,0.6599039824989935,0.8731905173044652,0.0,0.6599039824989935
13,1,3,-0.08746089537938433,0.0094448786694556,-0.09690577404883993,-0.1226732020732014,0.6666666666666666,0.15098037935482952
13,2,3,0.18641300996144608,0.009361251800631467,0.17705175816081464,0.24966908874921506,0.0,0.17705175816081464
13,3,3,-0.032322426637013735,0.009111002087593,-0.04143342872460674,-0.12348396470770229,0.6666666666666666,0.12373946607112879
13,4,3,-0.2248207330703735,-0.020408586366102082,-0.20441214670427144,-0.12422707723453635,1.0,0.20441214670427144
13,5,3,0.022068351507186904,0.008271764808644867,0.013796586698542036,0.0011809885036199938,0.3333333333333333,0.09604004925737776
13,6,3,0.06578439474105834,0.017485069809481432,0.0482993249315769,0.00013400893658399994,0.3333333333333333,0.1178062184869001
13,7,3,0.10438400506973267,0.01645338193823892,0.08793062313149375,0.12390117975883183,0.3333333333333333,0.08806042947495975
13,8,3,-0.1471218466758728,0.024768820808579464,-0.17189066748445225,-0.1245590401813386,1.0,0.17189066748445225
13,9,3,0.1197469631830851,0.009340034758982534,0.11040692842410256,0.1255759805208072,0.0,0.11040692842410256
13,10,3,0.002119203408559133,0.009832451081213833,-0.007713247672654701,-0.00027348485309629993,0.6666666666666666,0.0079638890844459
13,11,3,-0.26914870738983154,-0.00044534727931017586,-0.26870336011052137,-0.2493086829781533,1.0,0.26870336011052137
13,12,3,-0.06647334496180214,0.023874511787047,-0.09034785674884914,-0.1244096523150802,1.0,0.09034785674884915
13,13,3,-0.04161838690439856,-0.009874680389960566,-0.031743706514437996,-0.00041568093001840005,0.6666666666666666,0.11484199513991666
13,14,3,0.06491323312123616,-0.009332755270103611,0.07424598839133978,-0.00011490564793346437,0.6666666666666666,0.09141668770462276
13,15,3,-0.24856750170389805,-0.020704279343287103,-0.22786322236061096,-0.2503173891454935,1.0,0.22786322236061096
13,16,3,0.062424898147583,0.0371536399858693,0.0252712581617137,0.000355213880539,0.3333333333333333,0.058629444645096895
13,17,3,-0.14200319846471146,0.009374862692008367,-0.15137806115671984,-0.1248684613965451,1.0,0.15137806115671984
13,18,3,0.07340490818023683,-0.0003685839474201,0.07377349212765694,0.098220556974411,0.3333333333333333,0.07381058375661566
13,19,3,-0.08686256408691402,0.014849773840978764,-0.10171233792789279,-0.0548515915870665,1.0,0.1017123379278928
13,20,3,0.14927244186401367,0.008896123850718132,0.14037631801329553,0.250372952548787,0.3333333333333333,0.19421566378635657
13,21,3,0.05700347820917764,0.0234201583856096,0.033583319823568034,0.0003805672749877,0.3333333333333333,0.04963780109149717
