alpha,group,feature_index,feature,ridge_coef_standardized,scaler_train_mean,scaler_train_scale,v3_raw_mean,tally_raw_mean,raw_mean_shift,v3_mean_z,tally_mean_z,delta_mean_z,score_drift_contribution,abs_score_drift_contribution
2.0,overall,10,baseline_numprob_3,0.007256626095666136,0.10366602267515808,0.29355948343075805,0.11000525681158976,0.09744263051537033,-0.012562626296219431,0.021594376929495458,-0.021199765332247347,-0.0427941422617428,-0.00031054108947821185,0.00031054108947821185
4.0,baseline_correct,22,baseline_numprob_15,0.11769428903946781,5.092615811533367e-07,6.972043028902016e-07,4.247762668945302e-07,0.0001363213019271902,0.0001358965256602957,-0.1211772702901864,194.79518382637556,194.91636109666575,22.940542541432258,22.940542541432258
4.0,baseline_correct,21,baseline_numprob_14,-0.22271653045804074,5.361677067666297e-07,5.580397329298716e-06,6.591502029436373e-07,0.00015122842769284918,0.00015056927748990554,0.022038304608045255,27.003858523640236,26.98182021903219,-6.009297384625462,6.009297384625462
4.0,baseline_correct,7,baseline_numprob_0,0.022525489105915848,4.1636746722537664e-05,0.0004672236943500778,3.815065902895865e-05,0.10652642220943835,0.1064882715504094,-0.007461281899301508,227.9096431760367,227.917104457936,5.133944253519122,5.133944253519122
4.0,baseline_correct,32,geom_signed_tail_mass,-1.7192478542712641,0.01876356953326998,0.15624521333330574,-0.014567545769416344,0.07644289313584117,0.0910104389052575,-0.2133256730981169,0.36915898011882414,0.582484653216941,-1.001435490189167,1.001435490189167
4.0,baseline_correct,25,geom_p_down1,-2.456016184836945,0.03701497031451224,0.09318666597285259,0.035671096437688676,0.012476344905264647,-0.023194751532424028,-0.014421310847359313,-0.2633276462149212,-0.2489063353675619,0.6113179881711845,0.6113179881711845
4.0,baseline_correct,6,baseline_vocab_numeral_mass,0.10486142588405463,0.984386313020344,0.0229913814593945,0.9857694108885838,0.8548951792855743,-0.13087423160300948,0.06015723199071668,-5.6321597709762425,-5.692317002966959,-0.5969044775151637,0.5969044775151637
4.0,baseline_correct,31,geom_down_mass,1.943695468829561,0.03784618824425898,0.09386526146666196,0.0365349879198085,0.013413541262509028,-0.02312144665729947,-0.013968962574254975,-0.2602948801290886,-0.2463259175548336,-0.47878256980661404,0.47878256980661404
4.0,baseline_correct,33,geom_up_distance_mass,0.4356290447741165,0.057874787567668846,0.12006049598759855,0.022951865623440853,0.15149234723370827,0.12854048161026743,-0.2908777084165581,0.7797532310353752,1.0706309394519333,0.46639793345906067,0.46639793345906067
4.0,baseline_correct,29,geom_local_asymmetry,0.9746753926506098,0.018388733864148705,0.15378152644045082,-0.014616534353886615,0.055465348597621755,0.07008188295150837,-0.21462440243637493,0.24109927630241282,0.4557236787387877,0.44418265551490826,0.44418265551490826
4.0,baseline_correct,30,geom_up_mass,-0.7451523217038468,0.05660975777752894,0.11565254758752253,0.021967442150392164,0.0898564343983503,0.06788899224795814,-0.299537851519617,0.28747033519223836,0.5870081867118553,-0.4374105131875042,0.4374105131875042
4.0,baseline_correct,24,geom_expected_minus_pred,0.3275380778208559,0.016833860992917882,0.15941488573271406,-0.01705469411501467,0.13687523114003844,0.1539299252550531,-0.21258087004969176,0.7530123024294623,0.965593172479154,0.3162685316707643,0.3162685316707643
4.0,baseline_correct,35,geom_signed_distance_mass,0.3275380778064166,0.016833860992917976,0.159414885732714,-0.017054694115014646,0.13687523114003847,0.1539299252550531,-0.21258087004969242,0.7530123024294623,0.9655931724791547,0.316268531656822,0.316268531656822
4.0,baseline_correct,38,geom_up_down_logratio,0.18453534072639557,0.7816250345194553,4.440435566835954,-1.1653527537899242,6.369274277956625,7.534627031746549,-0.4384654971351616,1.258356113794183,1.6968216109293446,0.313123554124758,0.313123554124758
4.0,baseline_correct,26,geom_p_up1,-0.7026191312164077,0.055403704178660945,0.11240925085721881,0.02105456208380206,0.06794169350288629,0.046887131419084224,-0.305572200089554,0.11153876774920476,0.4171109678387588,-0.29307014584370367,0.29307014584370367
4.0,baseline_correct,4,baseline_top1_prob,-0.6813931065241745,0.905544053978212,0.14127926761491846,0.9414975699298002,0.8967300243391385,-0.04476754559066165,0.25448543553881425,-0.06238728291751636,-0.3168727184563306,0.2159148860017192,0.2159148860017192
4.0,baseline_correct,20,baseline_numprob_13,-0.2154072194579866,9.62823837967822e-06,0.00019160570210330127,1.1040122379275983e-05,0.00014513441173751913,0.00013409428935824314,0.007368695107187206,0.7072136782483889,0.6998449831412017,-0.15075166187006778,0.15075166187006778
4.0,baseline_correct,5,baseline_conditional_margin,-0.5001914620767879,0.8177377517370221,0.2735078215133602,0.8894143811170059,0.8170568937339089,-0.072357487383097,0.2620642765657949,-0.002489354780957785,-0.2645536313467527,0.13232746766105577,0.13232746766105577
4.0,baseline_correct,37,geom_down_boundary_gap,0.6336234771452224,0.8685290836636997,0.2092745069726338,0.9058264734921104,0.8842536794338749,-0.021572794058235534,0.17822232802243845,0.07513861099303645,-0.103083717029402,-0.06531626322122387,0.06531626322122387
4.0,baseline_correct,23,geom_top2_prob,0.3046039847909199,0.08780630224118986,0.13308938848409105,0.05208318881279185,0.07967313060523212,0.027589941792440273,-0.2684144381102795,-0.06111059438018177,0.20730384373009772,0.06314557686266192,0.06314557686266192
