alpha,feature,ridge_coef_standardized,abs_coef,scaler_mean,scaler_scale
2.0,geom_p_down2,-0.05131632379887007,0.05131632379887007,0.000131970537109326,0.0010022088966305186
2.0,baseline_numprob_9,0.034604114907475655,0.034604114907475655,0.03173724984045591,0.12800425066828716
2.0,baseline_vocab_numeral_mass,0.03367548252829083,0.03367548252829083,0.984386313020344,0.0229913814593945
2.0,baseline_best_numeral,-0.03196421774103921,0.03196421774103921,4.888,2.3574257146302617
2.0,baseline_numprob_5,-0.024984183662223526,0.024984183662223526,0.10141540256904716,0.2740415051097269
2.0,baseline_numprob_6,-0.022118415365122334,0.022118415365122334,0.16873449958181733,0.3424674661932947
2.0,baseline_numprob_2,0.01785540460622761,0.01785540460622761,0.1118264805340267,0.31168846703835984
2.0,baseline_entropy,-0.016795223877309886,0.016795223877309886,0.22846410464676906,0.2766222223828705
2.0,baseline_entropy_norm,-0.01679522383659727,0.01679522383659727,0.08240100769875769,0.09977037710786282
2.0,baseline_numprob_8,0.00907760511917788,0.00907760511917788,0.11129707669575009,0.26888012058647554
2.0,baseline_numprob_0,0.008272838610179417,0.008272838610179417,4.1636746722537664e-05,0.0004672236943500778
2.0,baseline_numprob_7,-0.008185071964239204,0.008185071964239204,0.14709084852242094,0.3126855141585288
2.0,baseline_numprob_3,0.007256626095666136,0.007256626095666136,0.10366602267515808,0.29355948343075805
2.0,baseline_numprob_4,-0.006540101960278926,0.006540101960278926,0.1139122509696662,0.2994796511034993
2.0,baseline_numprob_1,0.005070023047220411,0.005070023047220411,0.10178598403062854,0.3009663347630182
2.0,baseline_expected_numeral,0.0020119219391514934,0.0020119219391514934,4.904833860992918,2.3601459748913887
4.0,geom_p_down1,-2.456016184836945,2.456016184836945,0.03701497031451224,0.09318666597285259
4.0,geom_down_mass,1.943695468829561,1.943695468829561,0.03784618824425898,0.09386526146666196
4.0,geom_signed_tail_mass,-1.7192478542712641,1.7192478542712641,0.01876356953326998,0.15624521333330574
4.0,geom_local_asymmetry,0.9746753926506098,0.9746753926506098,0.018388733864148705,0.15378152644045082
4.0,geom_up_mass,-0.7451523217038468,0.7451523217038468,0.05660975777752894,0.11565254758752253
4.0,geom_p_up1,-0.7026191312164077,0.7026191312164077,0.055403704178660945,0.11240925085721881
4.0,baseline_top1_prob,-0.6813931065241745,0.6813931065241745,0.905544053978212,0.14127926761491846
4.0,geom_down_boundary_gap,0.6336234771452224,0.6336234771452224,0.8685290836636997,0.2092745069726338
4.0,baseline_numprob_12,0.5724057731663537,0.5724057731663537,0.0003174033077843838,0.0064031975823155
4.0,baseline_conditional_margin,-0.5001914620767879,0.5001914620767879,0.8177377517370221,0.2735078215133602
4.0,geom_up_distance_mass,0.4356290447741165,0.4356290447741165,0.057874787567668846,0.12006049598759855
4.0,geom_expected_minus_pred,0.3275380778208559,0.3275380778208559,0.016833860992917882,0.15941488573271406
4.0,geom_signed_distance_mass,0.3275380778064166,0.3275380778064166,0.016833860992917976,0.159414885732714
4.0,geom_top2_prob,0.3046039847909199,0.3046039847909199,0.08780630224118986,0.13308938848409105
4.0,baseline_numprob_14,-0.22271653045804074,0.22271653045804074,5.361677067666297e-07,5.580397329298716e-06
4.0,baseline_numprob_13,-0.2154072194579866,0.2154072194579866,9.62823837967822e-06,0.00019160570210330127
4.0,baseline_numprob_11,-0.2096327912414547,0.2096327912414547,0.0020221712144012144,0.027567573241399832
4.0,geom_up_down_logratio,0.18453534072639557,0.18453534072639557,0.7816250345194553,4.440435566835954
4.0,baseline_numprob_15,0.11769428903946781,0.11769428903946781,5.092615811533367e-07,6.972043028902016e-07
4.0,baseline_vocab_numeral_mass,0.10486142588405463,0.10486142588405463,0.984386313020344,0.0229913814593945
4.0,baseline_numprob_10,0.09942001573585732,0.09942001573585732,0.006142299644453246,0.0470889954046335
4.0,baseline_entropy_norm,0.0800425549250657,0.0800425549250657,0.08240100769875769,0.09977037710786282
4.0,baseline_entropy,0.08004255489834944,0.08004255489834944,0.22846410464676906,0.2766222223828705
4.0,geom_up_boundary_gap,-0.07288391353157704,0.07288391353157704,0.850140349799551,0.23716932901579027
4.0,geom_p_down2,-0.06354109196241561,0.06354109196241561,0.000131970537109326,0.0010022088966305186
4.0,geom_p_up2,-0.05836221751492396,0.05836221751492396,0.0011660318917660227,0.011531309036386122
4.0,baseline_best_numeral,-0.045457470602315996,0.045457470602315996,4.888,2.3574257146302617
4.0,baseline_numprob_9,-0.03133516109920777,0.03133516109920777,0.03173724984045591,0.12800425066828716
4.0,baseline_numprob_5,-0.02884503725005912,0.02884503725005912,0.10141540256904716,0.2740415051097269
4.0,baseline_numprob_2,0.0281830407478005,0.0281830407478005,0.1118264805340267,0.31168846703835984
4.0,baseline_expected_numeral,-0.02328168055029277,0.02328168055029277,4.904833860992918,2.3601459748913887
4.0,baseline_numprob_0,0.022525489105915848,0.022525489105915848,4.1636746722537664e-05,0.0004672236943500778
4.0,baseline_numprob_1,0.014646153113371968,0.014646153113371968,0.10178598403062854,0.3009663347630182
4.0,baseline_numprob_6,-0.013732711108123664,0.013732711108123664,0.16873449958181733,0.3424674661932947
4.0,baseline_numprob_4,0.004982055481201538,0.004982055481201538,0.1139122509696662,0.2994796511034993
4.0,baseline_numprob_8,-0.0024678422449744396,0.0024678422449744396,0.11129707669575009,0.26888012058647554
4.0,geom_down_distance_mass,0.000907320556437623,0.000907320556437623,0.04104092657475086,0.09632090971138188
4.0,baseline_numprob_3,0.0007277853654572725,0.0007277853654572725,0.10366602267515808,0.29355948343075805
4.0,baseline_numprob_7,-0.0004845365457775104,0.0004845365457775104,0.14709084852242094,0.3126855141585288
