alpha,sample_rank,row_index,feature_rank,feature,raw_feature_value,standardized_z,ridge_coef,score_contribution,abs_score_contribution
1.5,20,3135,1,baseline_numprob_15,0.0244134010050811,35015.406018434434,0.0432768071078211,1515.354972061825,1515.354972061825
1.5,20,3135,2,baseline_numprob_14,0.0139103365859639,2492.618284584615,-0.1491051413775455,-371.662201723244,371.662201723244
1.5,20,3135,3,geom_up_distance_mass,1.4344888731121004,11.466003652747084,4.7499894809138254,54.463396738668145,54.463396738668145
1.5,20,3135,4,geom_signed_distance_mass,1.3912155105796116,8.621413510223109,2.193046689366054,18.90716235625056,18.90716235625056
1.5,20,3135,5,geom_expected_minus_pred,1.3912155105796111,8.621413510223103,2.1930466892626277,18.907162355358867,18.907162355358867
1.5,20,3135,6,baseline_numprob_13,0.0079258708729084,41.31527688179552,-0.35496526405873,-14.66548816800609,14.66548816800609
1.5,20,3135,7,geom_p_up2,0.0907067887799809,7.76501233343727,-1.3189606215688103,-10.2417454937999,10.2417454937999
1.5,20,3135,8,geom_p_up1,0.2793965791113463,1.9926551705001487,-3.240971661868426,-6.458138939466578,6.458138939466578
1.5,20,3135,9,geom_signed_tail_mass,0.4686548875044803,2.879392644250114,-1.7566725019971612,-5.058149880607069,5.058149880607069
1.5,20,3135,10,geom_up_mass,0.5040039022813761,3.868433111387124,-0.9632146259761122,-3.7261313524983564,3.7261313524983564
2.0,1,3825,1,baseline_numprob_15,0.3519700211599081,504829.80446228903,0.07512040448793378,37923.01910877167,37923.01910877167
2.0,1,3825,2,baseline_numprob_14,0.2134806091331886,38255.35358291587,-0.2048867450212109,-7838.0148752391515,7838.0148752391515
2.0,1,3825,3,baseline_numprob_13,0.1142679358057347,596.3199754136461,-0.4056961921457634,-241.9247433257715,241.9247433257715
2.0,1,3825,4,geom_down_mass,0.6480299788400918,6.500634857471219,3.1402135958104895,20.413381960830705,20.413381960830705
2.0,1,3825,5,geom_signed_tail_mass,-0.6480299788400918,-4.267609446383123,-2.5482699926279864,10.875021092473846,10.875021092473846
2.0,1,3825,6,geom_down_distance_mass,2.3571240996075296,24.04548690385859,-0.33171440579483213,-7.97623440036087,7.97623440036087
2.0,1,3825,7,geom_expected_minus_pred,-2.357124099607532,-14.891695651187751,0.5024731384933667,-7.48267705134033,7.48267705134033
2.0,1,3825,8,geom_signed_distance_mass,-2.3571240996075296,-14.891695651187739,0.5024731384580589,-7.482677050814529,7.482677050814529
2.0,1,3825,9,baseline_numprob_12,0.0611632185532938,9.502411016263938,0.7497688173258045,7.124611469407909,7.124611469407909
2.0,1,3825,10,geom_p_down1,0.2134806091331886,1.8936790685277316,-3.554022348568344,-6.730177730563643,6.730177730563643
2.0,2,2176,1,baseline_numprob_15,0.3034266628705285,435204.07483304373,0.07512040448793378,32692.706136255245,32692.706136255245
2.0,2,2176,2,baseline_numprob_14,0.1624125890188291,29104.030280856816,-0.2048867450212109,-5963.030031243512,5963.030031243512
2.0,2,2176,3,baseline_numprob_13,0.0767182747965675,400.34636608482316,-0.4056961921457634,-162.41899626000657,162.41899626000657
2.0,2,2176,4,geom_down_mass,0.6965733371294714,7.017794853947879,3.1402135958104895,22.03737481297602,22.03737481297602
2.0,2,2176,5,geom_down_distance_mass,4.489472695667144,46.18344845809464,-0.33171440579483213,-15.31971516283312,15.31971516283312
2.0,2,2176,6,geom_expected_minus_pred,-4.489472695667143,-28.267790275342563,0.5024731384933667,-14.20380529792365,14.20380529792365
2.0,2,2176,7,geom_signed_distance_mass,-4.489472695667144,-28.26779027534258,0.5024731384580589,-14.203805296925582,14.203805296925582
2.0,2,2176,8,geom_signed_tail_mass,-0.6965733371294714,-4.578296457228222,-2.5482699926279864,11.666735479309699,11.666735479309699
2.0,2,2176,9,baseline_top1_prob,0.3034266628705285,-4.2618949069644145,-1.354472988903159,5.772621533027241,5.772621533027241
2.0,2,2176,10,geom_p_down1,0.1624125890188291,1.3456605341031094,-3.554022348568344,-4.782507611788866,4.782507611788866
2.0,3,306,1,baseline_numprob_15,0.3071025838129893,440476.4475467843,0.07512040448793378,33088.76890712258,33088.76890712258
2.0,3,306,2,baseline_numprob_14,0.1862671327595467,33378.73373529979,-0.2048867450212109,-6838.860107955259,6838.860107955259
2.0,3,306,3,baseline_numprob_13,0.0997016115670113,520.2975810964342,-0.4056961921457634,-211.0827474334749,211.0827474334749
2.0,3,306,4,geom_down_mass,0.6928974161870107,6.9786331781050395,3.1402135958104895,21.91439878605961,21.91439878605961
2.0,3,306,5,baseline_numprob_12,0.1129767269154285,17.594228845723777,0.7497688173258045,13.19160415341787,13.19160415341787
2.0,3,306,6,geom_signed_tail_mass,-0.6928974161870107,-4.554769842466468,-2.5482699926279864,11.606783312884202,11.606783312884202
2.0,3,306,7,geom_down_distance_mass,2.364872500331975,24.1259305037754,-0.33171440579483213,-8.002918701307273,8.002918701307273
2.0,3,306,8,geom_expected_minus_pred,-2.3648725003319733,-14.940300903381278,0.5024731384933667,-7.507099884957273,7.507099884957273
2.0,3,306,9,geom_signed_distance_mass,-2.364872500331975,-14.940300903381296,0.5024731384580589,-7.507099884429771,7.507099884429771
2.0,3,306,10,baseline_top1_prob,0.3071025838129893,-4.235876079117146,-1.354472988903159,5.737379733505195,5.737379733505195
2.0,4,1369,1,baseline_numprob_15,0.2932374689085374,420589.71585712716,0.07512040448793378,31594.869578652528,31594.869578652528
2.0,4,1369,2,baseline_numprob_14,0.2932374689085374,52547.67992975179,-0.2048867450212109,-10766.323099223257,10766.323099223257
2.0,4,1369,3,baseline_numprob_13,0.1222395635346267,637.9243099474598,-0.4056961921457634,-258.8034634228982,258.8034634228982
2.0,4,1369,4,geom_down_mass,0.4135250621829251,4.002320646303166,3.1402135958104895,12.568141708314226,12.568141708314226
2.0,4,1369,5,baseline_numprob_12,0.095200267803074,14.818044153024314,0.7497688173258045,11.110107439694591,11.110107439694591
2.0,4,1369,6,baseline_top1_prob,0.2932374689085374,-4.334015849647693,-1.354472988903159,5.870307401825975,5.870307401825975
2.0,4,1369,7,geom_p_down2,0.095200267803074,94.85876406165373,-0.05131632379887007,-4.867803051748442,4.867803051748442
2.0,4,1369,8,geom_down_distance_mass,1.1827818914143051,11.853511021238194,-0.33171440579483213,-3.9319803649925213,3.9319803649925213
2.0,4,1369,9,geom_p_down1,0.1222395635346267,0.9145578107166357,-3.554022348568344,-3.2503588983446607,3.2503588983446607
2.0,4,1369,10,geom_expected_minus_pred,-0.8895444225057663,-5.6856565140245445,0.5024731384933667,-2.8568896729971676,2.8568896729971676
2.0,5,1920,1,baseline_numprob_15,0.2018525123139408,289516.28986740217,0.07512040448793378,21748.580800685133,21748.580800685133
2.0,5,1920,2,baseline_numprob_14,0.1387310676103942,24860.33220507644,-0.2048867450212109,-5093.552545644095,5093.552545644095
2.0,5,1920,3,baseline_numprob_13,0.0841446459603703,439.1049786014746,-0.4056961921457634,-178.14321777086516,178.14321777086516
2.0,5,1920,4,geom_down_mass,0.7981474876860591,8.099922032517169,3.1402135958104895,25.43548529151535,25.43548529151535
2.0,5,1920,5,geom_down_distance_mass,4.129515111499417,42.44638258894628,-0.33171440579483213,-14.080076578632424,14.080076578632424
