alpha,feature,v3_abs_z_median,tally_abs_z_median,v3_abs_z_q95,tally_abs_z_q95,v3_abs_z_q99,tally_abs_z_q99,v3_abs_z_q999,tally_abs_z_q999,v3_abs_z_max,tally_abs_z_max,v3_fraction_abs_z_gt_5,tally_fraction_abs_z_gt_5,v3_fraction_abs_z_gt_10,tally_fraction_abs_z_gt_10,v3_fraction_abs_z_gt_50,tally_fraction_abs_z_gt_50,v3_fraction_abs_z_gt_100,tally_fraction_abs_z_gt_100,v3_raw_min,v3_raw_max,tally_raw_min,tally_raw_max,q99_inflation
1.5,geom_signed_tail_mass,0.12794381330857235,0.26708980456900855,2.526354153766797,2.9060499175509547,3.074352201308491,3.6921960346026728,3.1172220824985892,4.833329950322969,3.119792322403301,5.656367844075151,0.0,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,-0.4686890474362431,0.5001623694771176,-0.8650168309559025,0.822869513034531,1.200967160831481
1.5,geom_p_up1,0.4898920919316927,0.48656450613166036,2.3580351281414735,2.792977179973261,3.640927173569576,3.6662822675434823,3.9519488253705393,3.951332799613729,3.9528541574281824,3.955039130975306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.475893414618525e-07,0.4997410787630058,0.0,0.4999866900025808,1.0069639113237305
1.5,geom_up_boundary_gap,0.6230643771717812,0.6281779700590401,2.2785824775041994,3.2164446697166325,3.3248061622345886,3.584529050731304,3.584529050731304,3.584529050731304,3.584529050731304,3.584529050731304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999923430729232,0.0,0.9999851799070776,1.0781167008909411
1.5,baseline_conditional_margin,0.6598643569137679,0.6631633833875845,2.3144442321356395,2.7872835898887898,2.7749292193614137,2.9898148696894853,2.9898148696894853,2.9898148696894853,2.9898148696894853,2.9898148696894853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999990189857896,0.0,0.9999846176469208,1.0774382455695375
1.5,baseline_numprob_1,0.3376056580922535,0.3381869251751067,2.9843878457026474,2.983907670496503,2.98440369204039,2.984229485923103,2.984411351436065,2.984356614027684,2.9844114237242616,2.984382113225046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8734580629402007e-06,0.9999933516538004,2.993032226509071e-07,0.9999845301802814,0.9999416278304603
1.5,baseline_numprob_3,0.35311986559169084,0.3523516293264128,3.052271437419865,2.038002044922601,3.0529390848450677,2.983171050205412,3.053097383982726,3.052412370808514,3.053120070563834,3.053173687408264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1919007022536313e-07,0.9999383734419568,1.6092920244884937e-07,0.9999541131751108,0.977147256233521
1.5,geom_local_asymmetry,0.12633040638633458,0.18833117803017918,2.5268091120480003,2.4940055935083296,3.113467469308468,2.9651529160272907,3.1620742201173546,3.166355724983607,3.1655950741601684,3.167769243773571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4684213087325741,0.4997337129796898,-0.4687556558544636,0.4999819319581163,0.9523635449079955
1.5,geom_top2_prob,0.6540707174589808,0.6550490695536235,2.3604821198231365,2.346940325174814,2.8594304526848107,2.86087228434378,3.0944090548035548,3.0938887504079857,3.0951737115469347,3.0970191722735376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.089483229510144e-06,0.4997410787630058,4.785066682869565e-06,0.4999866900025808,1.0005042373583926
1.5,baseline_numprob_2,0.3587623965648006,0.3582682444760534,2.8493931544392215,2.842255520482375,2.849463445778425,2.8492262966951913,2.8494888033696277,2.8495030028337456,2.8495043731472207,2.8495212884160708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.562261462420483e-07,0.9999841304193864,8.092028480895995e-08,0.9999894027136038,0.9999167741265167
1.5,baseline_numprob_4,0.3803622637985813,0.3800038182468193,2.9388694305435266,0.4969352359023042,2.9568408352032427,2.3491780796370354,2.9578249118335007,2.9526338703179524,2.9580367484399317,2.955785953778189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7751887603413748e-08,0.9997840643437864,1.2738709399899724e-07,0.999109997143782,0.7944891898365462
1.5,baseline_best_numeral,0.8958924927699136,1.6492566344173407,1.6492566344173407,2.0734481556152167,1.7485174503776397,2.0734481556152167,2.5926585775614166,4.2894246623529195,2.5926585775614166,4.2894246623529195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,15.0,1.1858321203292614
