sample_id,fold,ridge_alpha,threshold,baseline_correct,selected_alpha,selected_score,selected_utility
pccv2_n02_distractors_r07,3,0.01,0.1,True,4.0,0.12471896246326884,0
pccv2_n02_distractors_r08,2,0.01,0.1,True,1.0,0.06103768125208424,0
pccv2_n02_distractors_r09,1,0.01,0.1,True,1.0,0.09680306342398526,0
pccv2_n02_distractors_r10,5,0.01,0.1,True,1.0,0.09540101371426198,0
pccv2_n02_distractors_r11,4,0.01,0.1,True,1.0,0.06233282455487249,0
pccv2_n02_distractors_r12,3,0.01,0.1,True,1.0,0.02301146253151619,0
pccv2_n02_distractors_r13,2,0.01,0.1,True,1.0,0.0528122362182432,0
pccv2_n02_distractors_r14,1,0.01,0.1,True,1.0,0.01658560392511256,0
pccv2_n02_distractors_r15,5,0.01,0.1,True,1.0,0.07515907469736229,0
pccv2_n02_distractors_r16,4,0.01,0.1,True,1.0,0.08762298035939209,0
pccv2_n02_distractors_r17,3,0.01,0.1,True,1.0,0.07957189883704695,0
pccv2_n02_distractors_r18,2,0.01,0.1,True,1.0,0.09636146270200768,0
pccv2_n02_distractors_r19,1,0.01,0.1,True,1.0,0.05707016814737647,0
pccv2_n02_grid_r00,5,0.01,0.1,True,1.0,0.037178160244498694,0
pccv2_n02_grid_r01,4,0.01,0.1,True,4.0,0.14027232101480014,0
pccv2_n02_grid_r02,3,0.01,0.1,True,4.0,0.11143947911169928,0
pccv2_n02_grid_r03,2,0.01,0.1,True,1.0,0.06886757012940886,0
pccv2_n02_grid_r04,1,0.01,0.1,True,1.0,0.0796629139541914,0
pccv2_n02_grid_r05,5,0.01,0.1,True,1.0,0.03487648281980247,0
pccv2_n02_grid_r06,4,0.01,0.1,True,1.0,0.0758221510240088,0
pccv2_n02_grid_r07,3,0.01,0.1,True,4.0,0.14707576405422235,0
pccv2_n02_grid_r08,2,0.01,0.1,True,1.0,0.051231587880929394,0
pccv2_n02_grid_r09,1,0.01,0.1,True,4.0,0.18599567153102664,0
pccv2_n02_grid_r10,5,0.01,0.1,True,1.0,0.04086391087081962,0
pccv2_n02_grid_r11,4,0.01,0.1,True,1.0,0.05143754454194932,0
pccv2_n02_grid_r12,3,0.01,0.1,True,4.0,0.14116600263632204,0
pccv2_n02_grid_r13,2,0.01,0.1,True,4.0,0.12208964288702634,0
pccv2_n02_grid_r14,1,0.01,0.1,True,4.0,0.2632293818615493,0
pccv2_n02_grid_r15,5,0.01,0.1,True,1.0,0.06668118063001206,0
pccv2_n02_grid_r16,4,0.01,0.1,True,1.0,0.057510099364439515,0
pccv2_n02_grid_r17,3,0.01,0.1,True,4.0,0.11671354368420268,0
pccv2_n02_grid_r18,2,0.01,0.1,True,1.0,0.050182342980423886,0
pccv2_n02_grid_r19,1,0.01,0.1,True,1.0,0.07468217711832781,0
pccv2_n02_random_sparse_r00,5,0.01,0.1,True,1.0,0.030532025933362992,0
pccv2_n02_random_sparse_r01,4,0.01,0.1,True,1.0,0.04203078195816391,0
pccv2_n02_random_sparse_r02,3,0.01,0.1,True,4.0,0.1074413770691711,0
pccv2_n02_random_sparse_r03,2,0.01,0.1,True,1.0,0.023451930077890065,0
pccv2_n02_random_sparse_r04,1,0.01,0.1,True,1.0,0.09406550271923864,0
pccv2_n02_random_sparse_r05,5,0.01,0.1,True,1.0,0.01276012534401879,0
pccv2_n02_random_sparse_r06,4,0.01,0.1,True,1.0,0.08597642347186674,0
pccv2_n02_random_sparse_r07,3,0.01,0.1,True,1.0,0.07939176088560364,0
pccv2_n02_random_sparse_r08,2,0.01,0.1,True,4.0,0.23359554101744334,0
pccv2_n02_random_sparse_r09,1,0.01,0.1,True,4.0,0.15410997974292334,0
pccv2_n02_random_sparse_r10,5,0.01,0.1,True,1.0,0.006370406031217045,0
pccv2_n02_random_sparse_r11,4,0.01,0.1,True,1.0,0.0762182302485111,0
pccv2_n02_random_sparse_r12,3,0.01,0.1,True,1.0,0.06606443658397808,0
pccv2_n02_random_sparse_r13,2,0.01,0.1,True,1.0,0.050355337440187706,0
pccv2_n02_random_sparse_r14,1,0.01,0.1,True,1.0,0.07015363062121854,0
pccv2_n02_random_sparse_r15,5,0.01,0.1,True,1.0,0.043814461018548446,0
pccv2_n02_random_sparse_r16,4,0.01,0.1,True,4.0,0.11972190179278208,0
pccv2_n02_random_sparse_r17,3,0.01,0.1,True,1.0,0.08951463988241025,0
pccv2_n02_random_sparse_r18,2,0.01,0.1,True,4.0,0.11788036105164595,0
pccv2_n02_random_sparse_r19,1,0.01,0.1,True,4.0,0.10295368640679936,0
pccv2_n02_row_r00,5,0.01,0.1,True,1.0,0.03931024095530287,0
pccv2_n02_row_r01,4,0.01,0.1,True,1.0,0.0719731933366532,0
pccv2_n02_row_r02,3,0.01,0.1,True,1.0,0.05097880524545252,0
pccv2_n02_row_r03,2,0.01,0.1,True,1.0,0.06161943413331511,0
pccv2_n02_row_r04,1,0.01,0.1,True,1.0,0.09517923544379714,0
pccv2_n02_row_r05,5,0.01,0.1,True,1.0,0.04078921395692112,0
pccv2_n02_row_r06,4,0.01,0.1,True,1.0,0.06141487371460824,0
pccv2_n02_row_r07,3,0.01,0.1,True,1.0,0.046104478585440936,0
pccv2_n02_row_r08,2,0.01,0.1,True,1.0,0.062141018592642705,0
pccv2_n02_row_r09,1,0.01,0.1,True,1.0,0.06845412648495708,0
pccv2_n02_row_r10,5,0.01,0.1,True,1.0,0.05957481518691599,0
pccv2_n02_row_r11,4,0.01,0.1,True,1.0,0.06724976787646952,0
pccv2_n02_row_r12,3,0.01,0.1,True,1.0,0.03742665173643412,0
pccv2_n02_row_r13,2,0.01,0.1,True,1.0,0.0721839116192427,0
pccv2_n02_row_r14,1,0.01,0.1,True,1.0,0.08958501759971615,0
pccv2_n02_row_r15,5,0.01,0.1,True,1.0,0.05369338963810056,0
pccv2_n02_row_r16,4,0.01,0.1,True,1.0,0.09194234939560753,0
pccv2_n02_row_r17,3,0.01,0.1,True,1.0,0.056887077072662065,0
pccv2_n02_row_r18,2,0.01,0.1,True,1.0,0.06241976454438031,0
pccv2_n02_row_r19,1,0.01,0.1,True,1.0,0.06802520737948287,0
pccv2_n03_dense_r00,5,0.01,0.1,True,4.0,0.1040974160374239,0
pccv2_n03_dense_r01,4,0.01,0.1,True,1.0,0.06278684575904801,0
pccv2_n03_dense_r02,3,0.01,0.1,True,1.0,0.031277424678403984,0
pccv2_n03_dense_r03,2,0.01,0.1,True,1.0,0.023268032843181713,0
pccv2_n03_dense_r04,1,0.01,0.1,True,1.0,0.02666574433568058,0
pccv2_n03_dense_r05,5,0.01,0.1,False,4.0,0.389246160753563,1
pccv2_n03_dense_r06,4,0.01,0.1,True,1.0,0.05343595280459491,0
pccv2_n03_dense_r07,3,0.01,0.1,True,1.0,0.027339609113718008,0
pccv2_n03_dense_r08,2,0.01,0.1,True,1.0,0.019367971918070742,0
pccv2_n03_dense_r09,1,0.01,0.1,False,4.0,0.5044573385279063,1
pccv2_n03_dense_r10,5,0.01,0.1,True,1.0,0.03614243703344274,0
pccv2_n03_dense_r11,4,0.01,0.1,True,1.0,0.049458426762549426,0
pccv2_n03_dense_r12,3,0.01,0.1,True,1.0,0.03913585756593228,0
pccv2_n03_dense_r13,2,0.01,0.1,True,1.0,0.02015587561010848,0
pccv2_n03_dense_r14,1,0.01,0.1,True,1.0,0.04024099728316121,0
pccv2_n03_dense_r15,5,0.01,0.1,True,1.0,0.015670190964767038,0
pccv2_n03_dense_r16,4,0.01,0.1,True,1.0,0.09807275291432388,0
pccv2_n03_dense_r17,3,0.01,0.1,True,1.0,0.03769945846075427,0
