archive_path	original_local_path	category	lines	sha256
archive/historical_scripts/oracle_dam_v2_smoke.py	scripts/oracle_dam_v2_smoke.py	dam_oracle	1739	4c0ccd8463c99dfd47b34fc24b21786cb67cf7a6f69e0a72a39191a41fd1319e
archive/historical_scripts/probe_llama_attention_outputs.py	scripts/probe_llama_attention_outputs.py	sanity_instrumentation	151	3453480e41d5650ccce0e3ee02a527a8eef21686bfd5bc754ab02cec13f9457d
archive/historical_scripts/probe_llama_modules.py	scripts/probe_llama_modules.py	sanity_instrumentation	40	64109bf2d3de587a1d8ca5d87cf3389a23f12fab686ba17f093c3bfd2598b94d
archive/historical_scripts/probe_mllama_cross_attention_source.py	scripts/probe_mllama_cross_attention_source.py	sanity_instrumentation	89	d69c945c9b94bf732e42ca395ba628a59be858e9eba3dccfd8d236af77571eed
archive/historical_scripts/probe_mllama_preprocessing_geometry.py	scripts/probe_mllama_preprocessing_geometry.py	sanity_instrumentation	212	908c6822969535f4125a97daba10f3cd72e215366bd48775789fe4cbf38c5dd1
archive/historical_scripts/profile_dam_head_responses.py	scripts/profile_dam_head_responses.py	dam_oracle	548	53af625d50514d0f222dca15893e3f9f2dedb1f042e48681f2a307f17334c639
archive/historical_scripts/run_adaptive_dam_beta_sweep.py	scripts/run_adaptive_dam_beta_sweep.py	dam_oracle	737	c1552058424f0bf7fa7e60bf203b2622d8860d48ac9ab6e64ce1005383a81aec
archive/historical_scripts/run_adaptive_dam_closed_loop.py	scripts/run_adaptive_dam_closed_loop.py	dam_oracle	854	041f6b89d07abb6cd91cc4f3f521b99020bd3c56dd42dbac9324a4a97023a013
archive/historical_scripts/run_adaptive_head_selector.py	scripts/run_adaptive_head_selector.py	controller_development	1425	9630c07ffcb686216db96e70ac014e35d8f039da9291567d046038e45443537d
archive/historical_scripts/run_attention_pilot.py	scripts/run_attention_pilot.py	observational_attention	578	f701ca86de84fee02ce8995948103679591fafd2336b696e2e4444a00fa38d28
archive/historical_scripts/run_calibration50.py	scripts/run_calibration50.py	sanity_instrumentation	633	700d0748806162a48bdc0af292eafaa9053f0fc8abcd9d7ec758ab6373f31832
archive/historical_scripts/run_causal_head_batch.py	scripts/run_causal_head_batch.py	causal_discovery	481	ff12b31f0f1cdc1e9a126af131c55bc154fd87b2fd0f27ab9d3635754305e464
archive/historical_scripts/run_compatible_subset_closed_loop.py	scripts/run_compatible_subset_closed_loop.py	dam_oracle	915	faf6f7cb7faf3716eac3bcf42f5b494f2a72d6eecf145de4c54302d4ef9086d5
archive/historical_scripts/run_dam_v2_selective_validation.py	scripts/run_dam_v2_selective_validation.py	dam_oracle	555	788017c58a5269151477b8592ef2f7eaf958a6b9b978e5696f37db243a3e0775
